iteration,timestamp,breakout_window,take_profit,stop_loss,vol_mult,max_hold_bars,n_trades,win_rate,gross_pnl,total_slippage,total_gas,net_pnl,cagr,sharpe,max_dd,sortino,gate_passed,notes
24,2026-09-18T00:25:30.050005,10,0.05,0.04,2.0,240,175,5.71,205.54,1222.66,175.0,-1192.12,-50.48,-28.74,-11.55,-13.93,False,
25,2026-09-18T00:25:30.316786,10,0.05,0.04,2.5,60,59,8.47,98.45,429.96,59.0,-390.51,-19.62,-17.73,-3.74,-11.89,False,
26,2026-09-18T00:25:30.585404,10,0.05,0.04,2.5,120,59,10.17,114.27,430.81,59.0,-375.53,-18.9,-16.35,-3.59,-11.49,False,
27,2026-09-18T00:25:30.842108,10,0.05,0.04,2.5,180,59,10.17,114.27,430.81,59.0,-375.53,-18.9,-16.35,-3.59,-11.49,False,
28,2026-09-18T00:25:31.104684,10,0.05,0.04,2.5,240,59,10.17,114.27,430.81,59.0,-375.53,-18.9,-16.35,-3.59,-11.49,False,
29,2026-09-18T00:25:31.372913,10,0.05,0.04,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
30,2026-09-18T00:25:31.640858,10,0.05,0.04,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
31,2026-09-18T00:25:31.903013,10,0.05,0.04,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
32,2026-09-18T00:25:32.169541,10,0.05,0.04,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
33,2026-09-18T00:25:32.402331,10,0.05,0.06,1.5,60,769,4.03,456.87,4281.05,769.0,-4593.18,-96.75,-83.6,-45.01,-15.6,False,
34,2026-09-18T00:25:32.641765,10,0.05,0.06,1.5,120,767,4.17,472.02,4278.81,767.0,-4573.79,-96.68,-81.9,-44.81,-15.59,False,
35,2026-09-18T00:25:32.872419,10,0.05,0.06,1.5,180,767,4.17,472.02,4278.81,767.0,-4573.79,-96.68,-81.9,-44.81,-15.59,False,
36,2026-09-18T00:25:33.112341,10,0.05,0.06,1.5,240,767,4.17,472.02,4278.81,767.0,-4573.79,-96.68,-81.9,-44.81,-15.59,False,
37,2026-09-18T00:25:33.366518,10,0.05,0.06,2.0,60,175,5.14,189.85,1220.82,175.0,-1205.97,-50.92,-28.76,-11.69,-13.93,False,
38,2026-09-18T00:25:33.625754,10,0.05,0.06,2.0,120,175,5.71,205.54,1222.66,175.0,-1192.12,-50.48,-28.74,-11.55,-13.93,False,
39,2026-09-18T00:25:33.883045,10,0.05,0.06,2.0,180,175,5.71,205.54,1222.66,175.0,-1192.12,-50.48,-28.74,-11.55,-13.93,False,
40,2026-09-18T00:25:34.143034,10,0.05,0.06,2.0,240,175,5.71,205.54,1222.66,175.0,-1192.12,-50.48,-28.74,-11.55,-13.93,False,
41,2026-09-18T00:25:34.409795,10,0.05,0.06,2.5,60,59,8.47,98.45,429.96,59.0,-390.51,-19.62,-17.73,-3.74,-11.89,False,
42,2026-09-18T00:25:34.676801,10,0.05,0.06,2.5,120,59,10.17,114.27,430.81,59.0,-375.53,-18.9,-16.35,-3.59,-11.49,False,
43,2026-09-18T00:25:34.935173,10,0.05,0.06,2.5,180,59,10.17,114.27,430.81,59.0,-375.53,-18.9,-16.35,-3.59,-11.49,False,
44,2026-09-18T00:25:35.201399,10,0.05,0.06,2.5,240,59,10.17,114.27,430.81,59.0,-375.53,-18.9,-16.35,-3.59,-11.49,False,
45,2026-09-18T00:25:35.466465,10,0.05,0.06,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
46,2026-09-18T00:25:35.729404,10,0.05,0.06,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
47,2026-09-18T00:25:35.994361,10,0.05,0.06,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
48,2026-09-18T00:25:36.257844,10,0.05,0.06,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
49,2026-09-18T00:25:36.501598,10,0.07,0.02,1.5,60,762,4.07,457.8,4254.3,762.0,-4558.5,-96.62,-84.22,-44.66,-15.61,False,
50,2026-09-18T00:25:36.740387,10,0.07,0.02,1.5,120,760,4.21,473.0,4252.01,760.0,-4539.01,-96.55,-82.38,-44.46,-15.59,False,
51,2026-09-18T00:25:36.980972,10,0.07,0.02,1.5,180,760,4.21,473.0,4252.01,760.0,-4539.01,-96.55,-82.38,-44.46,-15.59,False,
52,2026-09-18T00:25:37.218992,10,0.07,0.02,1.5,240,760,4.21,473.0,4252.01,760.0,-4539.01,-96.55,-82.38,-44.46,-15.59,False,
53,2026-09-18T00:25:37.485456,10,0.07,0.02,2.0,60,175,5.14,189.83,1220.82,175.0,-1205.99,-50.93,-28.76,-11.69,-13.93,False,
54,2026-09-18T00:25:37.743422,10,0.07,0.02,2.0,120,175,5.71,205.52,1222.66,175.0,-1192.14,-50.48,-28.74,-11.55,-13.93,False,
55,2026-09-18T00:25:38.003323,10,0.07,0.02,2.0,180,175,5.71,205.52,1222.66,175.0,-1192.14,-50.48,-28.74,-11.55,-13.93,False,
56,2026-09-18T00:25:38.257965,10,0.07,0.02,2.0,240,175,5.71,205.52,1222.66,175.0,-1192.14,-50.48,-28.74,-11.55,-13.93,False,
57,2026-09-18T00:25:38.525897,10,0.07,0.02,2.5,60,59,8.47,98.43,429.96,59.0,-390.53,-19.62,-17.73,-3.74,-11.89,False,
58,2026-09-18T00:25:38.791919,10,0.07,0.02,2.5,120,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
59,2026-09-18T00:25:39.051869,10,0.07,0.02,2.5,180,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
60,2026-09-18T00:25:39.318352,10,0.07,0.02,2.5,240,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
61,2026-09-18T00:25:39.586516,10,0.07,0.02,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
62,2026-09-18T00:25:39.848746,10,0.07,0.02,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
63,2026-09-18T00:25:40.117248,10,0.07,0.02,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
64,2026-09-18T00:25:40.382946,10,0.07,0.02,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
65,2026-09-18T00:25:40.616473,10,0.07,0.04,1.5,60,762,4.07,457.8,4254.3,762.0,-4558.5,-96.62,-84.22,-44.66,-15.61,False,
66,2026-09-18T00:25:40.844110,10,0.07,0.04,1.5,120,760,4.21,473.0,4252.01,760.0,-4539.01,-96.55,-82.38,-44.46,-15.59,False,
67,2026-09-18T00:25:41.082524,10,0.07,0.04,1.5,180,760,4.21,473.0,4252.01,760.0,-4539.01,-96.55,-82.38,-44.46,-15.59,False,
68,2026-09-18T00:25:41.322476,10,0.07,0.04,1.5,240,760,4.21,473.0,4252.01,760.0,-4539.01,-96.55,-82.38,-44.46,-15.59,False,
69,2026-09-18T00:25:41.582633,10,0.07,0.04,2.0,60,175,5.14,189.83,1220.82,175.0,-1205.99,-50.93,-28.76,-11.69,-13.93,False,
70,2026-09-18T00:25:41.839256,10,0.07,0.04,2.0,120,175,5.71,205.52,1222.66,175.0,-1192.14,-50.48,-28.74,-11.55,-13.93,False,
71,2026-09-18T00:25:42.101180,10,0.07,0.04,2.0,180,175,5.71,205.52,1222.66,175.0,-1192.14,-50.48,-28.74,-11.55,-13.93,False,
72,2026-09-18T00:25:42.361473,10,0.07,0.04,2.0,240,175,5.71,205.52,1222.66,175.0,-1192.14,-50.48,-28.74,-11.55,-13.93,False,
73,2026-09-18T00:25:42.620456,10,0.07,0.04,2.5,60,59,8.47,98.43,429.96,59.0,-390.53,-19.62,-17.73,-3.74,-11.89,False,
74,2026-09-18T00:25:42.882887,10,0.07,0.04,2.5,120,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
75,2026-09-18T00:25:43.149879,10,0.07,0.04,2.5,180,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
76,2026-09-18T00:25:43.409379,10,0.07,0.04,2.5,240,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
77,2026-09-18T00:25:43.675508,10,0.07,0.04,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
78,2026-09-18T00:25:43.936418,10,0.07,0.04,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
79,2026-09-18T00:25:44.204358,10,0.07,0.04,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
80,2026-09-18T00:25:44.473026,10,0.07,0.04,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
81,2026-09-18T00:25:44.709453,10,0.07,0.06,1.5,60,762,4.07,457.8,4254.3,762.0,-4558.5,-96.62,-84.22,-44.66,-15.61,False,
82,2026-09-18T00:25:44.926067,10,0.07,0.06,1.5,120,760,4.21,473.0,4252.01,760.0,-4539.01,-96.55,-82.38,-44.46,-15.59,False,
83,2026-09-18T00:25:45.163532,10,0.07,0.06,1.5,180,760,4.21,473.0,4252.01,760.0,-4539.01,-96.55,-82.38,-44.46,-15.59,False,
84,2026-09-18T00:25:45.403857,10,0.07,0.06,1.5,240,760,4.21,473.0,4252.01,760.0,-4539.01,-96.55,-82.38,-44.46,-15.59,False,
85,2026-09-18T00:25:45.658897,10,0.07,0.06,2.0,60,175,5.14,189.83,1220.82,175.0,-1205.99,-50.93,-28.76,-11.69,-13.93,False,
86,2026-09-18T00:25:45.915120,10,0.07,0.06,2.0,120,175,5.71,205.52,1222.66,175.0,-1192.14,-50.48,-28.74,-11.55,-13.93,False,
87,2026-09-18T00:25:46.177744,10,0.07,0.06,2.0,180,175,5.71,205.52,1222.66,175.0,-1192.14,-50.48,-28.74,-11.55,-13.93,False,
88,2026-09-18T00:25:46.433084,10,0.07,0.06,2.0,240,175,5.71,205.52,1222.66,175.0,-1192.14,-50.48,-28.74,-11.55,-13.93,False,
89,2026-09-18T00:25:46.698158,10,0.07,0.06,2.5,60,59,8.47,98.43,429.96,59.0,-390.53,-19.62,-17.73,-3.74,-11.89,False,
90,2026-09-18T00:25:46.959950,10,0.07,0.06,2.5,120,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
91,2026-09-18T00:25:47.227016,10,0.07,0.06,2.5,180,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
92,2026-09-18T00:25:47.493798,10,0.07,0.06,2.5,240,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
