time,open,high,low,close,volume
1726704000,2374.577880859375,2412.45703125,2374.577880859375,2404.067138671875,793155584
1726718400,2404.22265625,2441.470703125,2400.71337890625,2437.302734375,1026017280
1726732800,2438.03955078125,2440.97900390625,2424.862060546875,2437.180908203125,407906304
1726747200,2435.984130859375,2450.596435546875,2423.516357421875,2440.15576171875,822368256
1726761600,2440.43115234375,2492.040771484375,2436.473876953125,2463.101318359375,886020096
1726776000,2462.8330078125,2478.619384765625,2456.58447265625,2464.7822265625,281372672
1726790400,2465.737060546875,2507.287109375,2439.650634765625,2507.287109375,373598208
1726804800,2520.88623046875,2571.678466796875,2520.824951171875,2562.5810546875,2563999744
1726819200,2561.30322265625,2563.158935546875,2540.0634765625,2545.203125,230477824
1726833600,2545.094482421875,2568.45849609375,2516.726806640625,2560.865478515625,1015459840
1726848000,2559.496826171875,2567.00830078125,2527.49072265625,2542.05419921875,0
1726862400,2541.18212890625,2560.879638671875,2538.57763671875,2560.879638671875,107798528
1726876800,2561.195556640625,2584.1005859375,2536.41064453125,2545.017333984375,462340096
1726891200,2544.683837890625,2558.718505859375,2531.4765625,2555.744873046875,0
1726905600,2555.985107421875,2557.4208984375,2545.9814453125,2557.205322265625,0
1726920000,2556.93115234375,2575.221923828125,2553.3828125,2560.8896484375,0
1726934400,2561.07763671875,2578.3701171875,2557.629150390625,2571.025146484375,0
1726948800,2572.22509765625,2621.00732421875,2561.80419921875,2615.51123046875,732347392
1726963200,2614.246826171875,2631.901123046875,2590.328857421875,2596.37255859375,329016320
1726977600,2595.478759765625,2604.754638671875,2579.2919921875,2588.53515625,160068608
1726992000,2589.042236328125,2595.531982421875,2572.264892578125,2583.513671875,558626816
1727006400,2583.146728515625,2587.962158203125,2558.821044921875,2572.3544921875,204303360
1727020800,2571.52880859375,2590.231689453125,2554.5068359375,2581.50146484375,623527936
1727035200,2579.80322265625,2592.870849609375,2528.83837890625,2582.85107421875,1340862464
1727049600,2582.180908203125,2684.939697265625,2541.962890625,2673.529052734375,2559043584
1727064000,2676.096435546875,2679.9111328125,2639.06494140625,2644.529541015625,1217534976
1727078400,2646.05224609375,2660.865478515625,2635.54052734375,2645.11376953125,754157568
1727092800,2645.24267578125,2684.041748046875,2639.74853515625,2679.549560546875,1475190784
1727107200,2674.896484375,2699.872802734375,2659.14599609375,2670.121826171875,1490049024
1727121600,2672.508544921875,2681.86279296875,2641.853515625,2648.482177734375,292849664
1727136000,2647.91015625,2649.92578125,2612.33935546875,2625.78759765625,0
1727150400,2626.38525390625,2648.796142578125,2618.904052734375,2646.645751953125,0
1727164800,2646.710205078125,2665.314453125,2636.280517578125,2636.280517578125,184726528
1727179200,2636.59521484375,2645.7958984375,2594.099609375,2613.177734375,614213632
1727193600,2613.2685546875,2654.522216796875,2612.276123046875,2650.89013671875,375029760
1727208000,2651.1005859375,2670.11181640625,2641.0732421875,2654.361572265625,661996544
1727222400,2653.47314453125,2672.013916015625,2634.83984375,2646.2646484375,121649152
1727236800,2646.388427734375,2646.388427734375,2612.53076171875,2624.021484375,326219776
1727251200,2622.888671875,2629.520751953125,2614.785400390625,2627.372802734375,142773248
1727265600,2627.45166015625,2627.73486328125,2598.315673828125,2600.018798828125,74933248
1727280000,2600.666748046875,2608.046142578125,2569.81298828125,2573.585205078125,345847808
1727294400,2570.44091796875,2584.220947265625,2560.05615234375,2579.217529296875,69624832
1727308800,2579.41552734375,2604.352294921875,2560.983642578125,2601.046142578125,293524480
1727323200,2601.689697265625,2632.3544921875,2592.639404296875,2631.879638671875,174955520
1727337600,2629.77734375,2639.07177734375,2612.847412109375,2628.092041015625,705928192
1727352000,2629.554931640625,2660.716796875,2612.446533203125,2654.030029296875,2249510912
1727366400,2652.80126953125,2664.16357421875,2628.116455078125,2649.54736328125,202048512
1727380800,2650.53173828125,2655.09326171875,2620.4072265625,2632.241943359375,533211136
1727395200,2632.47314453125,2642.3828125,2617.088623046875,2638.069580078125,58906624
1727409600,2638.27490234375,2667.495361328125,2638.27490234375,2660.189697265625,867714048
1727424000,2658.732421875,2677.1923828125,2642.759521484375,2652.749755859375,172646400
1727438400,2652.4921875,2698.810302734375,2644.944091796875,2685.0166015625,215971840
1727452800,2684.38134765625,2725.701416015625,2681.6064453125,2697.67138671875,605854720
1727467200,2702.8984375,2708.2236328125,2691.311767578125,2695.81591796875,0
1727481600,2695.71435546875,2704.675048828125,2689.10595703125,2691.279052734375,28481536
1727496000,2691.23046875,2699.896240234375,2676.40625,2679.2998046875,0
1727510400,2678.80859375,2678.80859375,2653.31787109375,2675.3837890625,0
1727524800,2675.308349609375,2675.39013671875,2654.08349609375,2669.993896484375,0
1727539200,2670.317626953125,2683.736083984375,2663.83984375,2678.10986328125,0
1727553600,2678.365478515625,2680.24853515625,2659.948486328125,2677.628662109375,123740160
1727568000,2676.93896484375,2683.197998046875,2666.77490234375,2675.5205078125,110882816
1727582400,2675.55419921875,2675.55419921875,2637.816650390625,2639.89794921875,681660416
1727596800,2640.72998046875,2654.260986328125,2635.863037109375,2652.802490234375,142169088
1727611200,2652.745849609375,2668.186767578125,2643.40576171875,2666.318359375,337676288
1727625600,2666.327392578125,2671.3857421875,2653.50244140625,2667.546630859375,204449792
1727640000,2666.96875,2672.2236328125,2649.43359375,2659.62060546875,680713216
1727654400,2658.185546875,2661.180908203125,2606.8359375,2628.2724609375,2278258688
1727668800,2629.58447265625,2643.43408203125,2623.423583984375,2638.772216796875,265986048
1727683200,2638.0517578125,2642.6279296875,2596.180419921875,2629.2470703125,1663342592
1727697600,2628.500244140625,2636.649658203125,2598.3076171875,2598.3076171875,687124480
1727712000,2595.44482421875,2608.365966796875,2579.3662109375,2598.250732421875,1657651200
1727726400,2593.625,2615.91748046875,2580.2060546875,2603.062744140625,857308160
